faculty_id,college_id,name,gender,designation,qualification,experience_years,department,salary,publications,patents,research_projects,joining_year,employment_type
FAC00001,COL0001,Sunita Wagh,Female,Assistant Professor,MTech,9,Business Administration,444000,0,0,0,2017,Contractual
FAC00002,COL0001,Dr. Sunita Yadav,Female,Associate Professor,PhD,11,Business Administration,835000,1,0,2,2015,Permanent
FAC00003,COL0001,Rupali Pandey,Female,Associate Professor,MTech,20,Economics,812000,2,0,2,2006,Contractual
FAC00004,COL0001,Manoj Sharma,Male,Associate Professor,ME,9,Business Administration,728000,1,0,0,2017,Permanent
FAC00005,COL0002,Dr. Deepa Sawant,Female,Professor,PhD,37,Zoology,2046000,15,1,7,1989,Permanent
FAC00006,COL0002,Rohini Sant,Female,Assistant Professor,MTech,5,Chemistry,669000,0,1,1,2021,Permanent
FAC00007,COL0002,Dr. Namdeo Thorat,Male,Associate Professor,PhD,18,Chemistry,1304000,15,4,5,2008,Visiting
FAC00008,COL0003,Dr. Nirmala Bhosale,Female,Professor,PhD,23,Curriculum & Pedagogy,1738000,8,1,5,2003,Permanent
FAC00009,COL0003,Dr. Vidya Mahajan,Female,Assistant Professor,PhD,8,Curriculum & Pedagogy,710000,2,0,3,2018,Permanent
FAC00010,COL0004,Dr. Vidya Ansari,Female,Assistant Professor,PhD,10,Educational Psychology,527000,1,2,1,2016,Permanent
FAC00011,COL0004,Imran Ali Yadav,Male,Assistant Professor,MTech,4,Educational Psychology,443000,1,0,0,2022,Contractual
FAC00012,COL0005,Ashok Chavan,Male,Associate Professor,MTech,11,Chemistry,761000,2,0,0,2015,Permanent
FAC00013,COL0005,Kailash Yadav,Male,Assistant Professor,BE,6,Chemistry,393000,0,1,0,2020,Permanent
FAC00014,COL0005,Mahesh Mahajan,Male,Assistant Professor,ME,5,Chemistry,450000,1,1,1,2021,Permanent
FAC00015,COL0005,Dr. Deepak Kadam,Male,HOD,PhD,31,English,1576000,20,3,5,1995,Permanent
FAC00016,COL0005,Dr. Varsha Ansari,Female,Professor,PhD,31,Physics,1445000,29,1,6,1995,Permanent
FAC00017,COL0005,Dr. Sangita Singh,Female,Associate Professor,PhD,19,English,855000,8,1,2,2007,Permanent
FAC00018,COL0005,Shabana Naik,Female,Assistant Professor,ME,5,Commerce,447000,0,0,0,2021,Permanent
FAC00019,COL0005,Vaishali Phadke,Female,Assistant Professor,ME,8,Computer Science,473000,0,1,2,2018,Contractual
FAC00020,COL0005,Vasanti Sharma,Female,Assistant Professor,ME,9,Commerce,505000,0,0,1,2017,Permanent
